env,actor_0_alpha,actor_0_seed,actor_1_alpha,actor_1_seed,algorithm,n_eval_episodes,mean_reward,mean_KL,q_output_diff,jacobian_diff
Ant-v4,None,3,None,1,code/cleanrl/cleanrl/td3_continuous_action.py,25,2882.232439399466,1.5443322658538818,76.01676239013672,42.48462097195388
Ant-v4,None,3,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,2800.1569120442437,3.541943073272705,511.2601708984375,52.68902802329099
Ant-v4,None,3,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,2595.447051899619,0.735907793045044,75.09728515625,35.959721902979844
Ant-v4,None,3,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,2722.420969950694,3.0883774757385254,386.3226611328125,54.90911818468079
Ant-v4,None,1,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,2284.2405708783726,3.6073551177978516,768.0703137207031,51.786845845312776
Ant-v4,None,1,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,1913.7634925634757,1.873578667640686,187.46518249511718,38.61423639207372
Ant-v4,None,1,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,2008.7398297058064,4.008958339691162,538.5731958007813,54.23847362694709
Ant-v4,None,5,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,2129.215902495399,3.1786746978759766,326.8499645996094,55.971487052903406
Ant-v4,None,5,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,2149.2903378583997,1.3156685829162598,76.11527282714843,29.226775003148465
Ant-v4,None,2,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,2134.737574653234,3.602529525756836,421.18703216552734,59.125968944885635
Ant-v4,0.05,3,0.05,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5393.245954899483,5.2087931632995605,181.79383544921876,31.29356664794922
Ant-v4,0.05,3,0.05,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5770.097752578757,4.104544639587402,108.21659301757812,28.973050080797645
Ant-v4,0.05,3,0.05,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5713.860353551369,7.62449836730957,115.74218627929687,36.70076036529103
Ant-v4,0.05,3,0.05,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5922.692144900477,8.098363876342773,86.4167724609375,31.6471961625197
Ant-v4,0.05,2,0.05,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5875.243762463954,27.23809814453125,118.38813720703125,33.53080615573072
Ant-v4,0.05,2,0.05,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,6226.771920828416,7.465264797210693,181.61249633789063,35.3178887076989
Ant-v4,0.05,2,0.05,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,6008.004549096072,5.625143527984619,82.69231079101563,31.405979108364658
Ant-v4,0.05,1,0.05,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,4994.659203722105,21.17690658569336,288.77225402832033,36.80978411989892
Ant-v4,0.05,1,0.05,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5805.653711337072,6.275069713592529,115.48709167480469,31.053665929248623
Ant-v4,0.05,4,0.05,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,-183.3322925219921,55.64710998535156,1063.583759765625,34.33825674438859
Ant-v4,0.0,3,0.0,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,-1628.6269364915588,5647.46240234375,41680.13734375,64.14473859658283
Ant-v4,0.0,3,0.0,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,-1604.3996602566579,4670.12890625,28047.284296875,77.73118963280814
Ant-v4,0.0,3,0.0,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,-1836.7434612306242,5484.97998046875,38955.7015625,54.7511392517853
Ant-v4,0.0,3,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,-1728.094470412878,3703.685302734375,18475.267265625,92.49824668350922
Ant-v4,0.0,5,0.0,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5868.201492689927,4397.16162109375,13478.961640625,51.03642278663635
Ant-v4,0.0,5,0.0,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5995.536507798172,1212.22509765625,85.78889099121093,26.19144262011841
Ant-v4,0.0,5,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5622.544760145929,5865.2939453125,24593.31390625,101.39595011871337
Ant-v4,0.0,1,0.0,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,-2597.0545540414982,8281.951171875,19516.30234375,81.06141112205506
Ant-v4,0.0,1,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,-2712.717060353152,2783.276611328125,8825.701953125,114.05313516021727
Ant-v4,0.0,4,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5580.526608794117,6034.87255859375,24958.232421875,83.29765796281181
Ant-v4,0.1,4,0.1,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5652.88949572026,1.8101855516433716,176.81804809570312,28.258229401997465
Ant-v4,0.1,4,0.1,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5858.864546473421,2.473151445388794,180.3886877441406,30.681179863019203
Ant-v4,0.1,4,0.1,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6064.846739723895,1.1885218620300293,179.3017529296875,26.429960868997945
Ant-v4,0.1,4,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,4886.286442457772,1.9487583637237549,322.6574060058594,27.751952588977804
Ant-v4,0.1,5,0.1,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,6212.9131811746765,2.98659610748291,112.754384765625,32.7385934721138
Ant-v4,0.1,5,0.1,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6368.404723197617,1.0363203287124634,27.620401611328123,28.188285516735895
Ant-v4,0.1,5,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6078.727721769183,1.2526124715805054,75.47790771484375,28.49740808956163
Ant-v4,0.1,1,0.1,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5144.920081908917,3.142822504043579,61.29817565917969,30.386773416869005
Ant-v4,0.1,1,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5764.453130119072,2.5754592418670654,131.08810913085938,30.603272843272624
Ant-v4,0.1,3,0.1,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6350.223256483518,0.973720371723175,63.7659912109375,28.7646801043072
Ant-v4,0.125,1,0.125,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5998.509512853519,3.8447482585906982,225.21474975585937,38.359031648139954
Ant-v4,0.125,1,0.125,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5606.962706535502,11.945598602294922,386.226904296875,38.851688456420895
Ant-v4,0.125,1,0.125,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5847.665590926523,2.7027130126953125,188.6987353515625,41.91657400283813
Ant-v4,0.125,1,0.125,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5909.275275925597,5.354886531829834,134.09717041015625,35.966271871109015
Ant-v4,0.125,4,0.125,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6154.107878405791,0.6098034977912903,27.14794677734375,23.69675774375915
Ant-v4,0.125,4,0.125,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,6308.1227157700305,3.3027002811431885,219.7344873046875,34.973583051147465
Ant-v4,0.125,4,0.125,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6164.086283982119,0.6740393042564392,29.025457763671874,26.159199272957704
Ant-v4,0.125,2,0.125,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,6450.287207245703,2.698822021484375,196.95588317871093,35.352719304004594
Ant-v4,0.125,2,0.125,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5551.922001547022,0.5878865718841553,44.79045654296875,26.716176817964666
Ant-v4,0.125,5,0.125,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5064.971654542388,15.523321151733398,217.7237384033203,29.116331041669696
Ant-v4,0.075,4,0.075,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6235.070090245037,2.3231863975524902,54.46046569824219,30.901703396554826
Ant-v4,0.075,4,0.075,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5355.497053371559,3.676023006439209,53.23587524414062,33.49114659652459
Ant-v4,0.075,4,0.075,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,6228.366212217352,3.4082412719726562,339.1524938964844,37.223370368919376
Ant-v4,0.075,4,0.075,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6235.774959755094,4.414295196533203,99.09558349609375,32.19642433551789
Ant-v4,0.075,2,0.075,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5952.4485897022,2.9371085166931152,37.83298217773437,33.165906283430125
Ant-v4,0.075,2,0.075,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,6002.005314970752,3.254225969314575,344.6408703613281,36.95122406960806
Ant-v4,0.075,2,0.075,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5858.952928435507,2.415863275527954,71.26556518554688,29.852545300712585
Ant-v4,0.075,5,0.075,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,6340.896757479381,2.9341235160827637,352.04487548828126,36.7080844203949
Ant-v4,0.075,5,0.075,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6558.697386166805,1.8429749011993408,47.428985595703125,31.311057660255436
Ant-v4,0.075,1,0.075,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,3801.1531173763574,15.464873313903809,370.8325927734375,31.52913104218962
Ant-v4,0.2,2,0.2,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5700.421767399306,3.1798620223999023,181.66202270507813,34.87939714317495
Ant-v4,0.2,2,0.2,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5556.307397954759,0.7060832381248474,67.63957092285156,24.05573731404445
Ant-v4,0.2,2,0.2,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5849.58095290508,0.31722739338874817,67.94240112304688,22.9355060737245
Ant-v4,0.2,2,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5723.42054431663,0.4041992127895355,76.50718627929687,23.569152740686945
Ant-v4,0.2,3,0.2,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5906.876264495439,1.9678840637207031,402.76171020507815,32.03351990455628
Ant-v4,0.2,3,0.2,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5908.874658319366,2.8237457275390625,164.56539184570312,38.99199048236948
Ant-v4,0.2,3,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5978.869998031282,3.146808385848999,265.69160400390626,40.74134799884582
Ant-v4,0.2,1,0.2,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,4957.866880920688,1.8708511590957642,102.71356811523438,23.085815750445178
Ant-v4,0.2,1,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5021.381152912311,1.0939253568649292,90.32127136230469,25.524702824814398
Ant-v4,0.2,5,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,6381.139100698247,0.33975547552108765,28.17183837890625,26.220631739383965
Ant-v4,0.025,1,0.025,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,2468.3453703835603,87.04076385498047,388.1735412597656,34.402433016390006
Ant-v4,0.025,1,0.025,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,2012.9518270290603,83.92908477783203,607.0620764160157,41.490106626677736
Ant-v4,0.025,1,0.025,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,1731.8904987665144,82.87663269042969,256.58751708984374,29.864544820525172
Ant-v4,0.025,1,0.025,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,2810.663103962879,59.101322174072266,284.37711547851563,31.476358881683886
Ant-v4,0.025,5,0.025,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6108.695279352956,44.549224853515625,321.9073278808594,45.972466096399096
Ant-v4,0.025,5,0.025,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6190.545434069192,50.81773376464844,402.8287561035156,30.93336619185657
Ant-v4,0.025,5,0.025,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,6486.39521355367,8.123668670654297,208.891259765625,31.191498331355216
Ant-v4,0.025,2,0.025,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,-1763.779747847459,96.50598907470703,227.0788525390625,66.45109151611328
Ant-v4,0.025,2,0.025,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,-1629.9170381438755,14.465017318725586,108.35372802734375,73.49014023338319
Ant-v4,0.025,3,0.025,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,4316.055686226517,29.390586853027344,192.0718359375,38.53312307404551
Ant-v4,0.15,1,0.15,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,4689.729550924674,1.6148996353149414,134.8297216796875,29.77344902197722
Ant-v4,0.15,1,0.15,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,4883.760125918795,1.2234110832214355,146.4073748779297,25.018053377951038
Ant-v4,0.15,1,0.15,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5360.028462132535,1.2816029787063599,122.42540771484374,25.146328794784544
Ant-v4,0.15,1,0.15,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5179.959423193399,6.642071723937988,215.15686279296875,30.781397708674067
Ant-v4,0.15,3,0.15,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,6317.486610810311,0.32911986112594604,41.90188110351563,26.864692872551345
Ant-v4,0.15,3,0.15,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5863.699235189514,0.535470724105835,62.9253076171875,27.391982682092838
Ant-v4,0.15,3,0.15,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5898.999447317809,3.2023508548736572,264.63135009765625,38.771943837720684
Ant-v4,0.15,4,0.15,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,5575.122742795912,0.4780198633670807,64.15043640136719,23.186907274612214
Ant-v4,0.15,4,0.15,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,5655.3101382246905,3.6878914833068848,274.25544921875,35.80574348146856
Ant-v4,0.15,5,0.15,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,4557.309284377226,4.221995830535889,256.61553344726565,35.37813698006766
Ant-v4,0.175,5,0.175,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,6445.330503611148,6.251071929931641,350.2910266113281,32.69206045984106
Ant-v4,0.175,5,0.175,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6456.758610406362,3.2095956802368164,407.6719665527344,35.85117980556488
Ant-v4,0.175,5,0.175,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,6222.061936332363,3.360621452331543,168.79767822265626,38.662309903964996
Ant-v4,0.175,5,0.175,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6329.096636888894,0.8563455939292908,167.15603393554687,32.06066270397185
Ant-v4,0.175,1,0.175,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,4491.263772284515,1.0573639869689941,84.43867553710938,22.06957537136383
Ant-v4,0.175,1,0.175,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5159.691000078488,1.1049710512161255,138.437314453125,24.792991624130465
Ant-v4,0.175,1,0.175,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5022.608069236163,2.514359474182129,376.4770520019531,31.192771954613093
Ant-v4,0.175,2,0.175,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5178.656980688434,3.3076043128967285,64.51396850585938,23.606658516475058
Ant-v4,0.175,2,0.175,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,5608.716308048037,2.2770047187805176,414.67205078125,32.13529155418459
Ant-v4,0.175,4,0.175,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6280.606707607555,1.8629772663116455,328.7180651855469,36.01888148891585
