env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,8,1137.3779428573002,1.00034944275799,4.1339515184424815,7.476581733477743
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,23,5078.346513109242,0.477897532209754,4.378349524460733,6.96233529661169
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,10,5210.1028688757715,0.22341000736877323,6.594371535819024,8.224521186435014
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,3,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-btr2lnpx/files/files/Humanoid-v4__humanoid-v4__3__0.6__1746925383_step2000000.pth,16,5175.641148598337,0.0,2.095676534984261,6.507624767952971
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,16,5175.641148598337,0.1757010018825531,2.6462296075969935,7.16250765809624
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,3,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-btr2lnpx/files/files/Humanoid-v4__humanoid-v4__3__0.6__1746925383_step2000000.pth,9,5199.360364997322,0.004970787048339843,2.241075723592192,7.164186245880344
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,9,5199.360364997322,0.2587338967323303,2.639920071769506,8.14769740998745
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,3,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-btr2lnpx/files/files/Humanoid-v4__humanoid-v4__3__0.6__1746925383_step2000000.pth,14,5199.618993375907,0.02010811987519264,2.0802744277231393,7.265411670191573
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,6,5075.523202322356,0.4939851251989603,5.085913657337427,7.872588573015324
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,14,5199.618993375907,0.08291650831699371,2.66734018368274,8.68235566350845
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,3,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-btr2lnpx/files/files/Humanoid-v4__humanoid-v4__3__0.6__1746925383_step2000000.pth,10,5068.618204578528,0.005486555576324463,2.937053029343486,7.711953056431233
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,3,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-btr2lnpx/files/files/Humanoid-v4__humanoid-v4__3__0.6__1746925383_step2000000.pth,18,5095.982872292983,0.0,1.407672632638365,7.082790948835941
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,10,5068.618204578528,0.0468774037361145,3.4919327972196044,8.135030993988421
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,18,5095.982872292983,0.15234917967021466,2.0394679264761506,8.508543789065603
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,3,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-btr2lnpx/files/files/Humanoid-v4__humanoid-v4__3__0.6__1746925383_step2000000.pth,7,4958.558837718988,0.029091838359832763,3.3905682071881276,6.2495982739014355
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,7,4958.558837718988,0.09787175385281444,3.6455434454899605,7.494552849269494
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,15,5105.271461758466,0.21731823165714742,4.706002890214324,7.756181063717359
Humanoid-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.6,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-fj3jqelh/files/files/Humanoid-v4__humanoid-v4__2__0.6__1746925383_step2000000.pth,0.6,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250510_210305-grijlhur/files/files/Humanoid-v4__humanoid-v4__1__0.6__1746925383_step2000000.pth,8,5143.714069890007,0.13694623053073884,2.659418792902492,8.948111140385093
